# md_1200K_96atom.extxyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     165      96      -570.589      -570.565      0.000248143      21.5438      21.5769      0.039324      
     166      96      -570.059      -570.033      0.000269759      23.3057      23.3432      0.040604      
     167      96      -569.559      -569.535      0.000249874      24.7139      24.7455      0.0409157      
     168      96      -570.137      -570.118      0.000201857      23.0843      23.153      0.0383342      
     169      96      -570.896      -570.879      0.000175241      20.824      20.9218      0.0348067      
     170      96      -570.491      -570.475      0.000171992      21.1022      21.2001      0.0367259      
     171      96      -569.819      -569.806      0.000135882      22.2843      22.3703      0.0385944      
     172      96      -568.435      -568.433      2.07023e-05      24.4539      24.537      0.042588      
     173      96      -568.147      -568.15      2.68433e-05      23.8434      23.9223      0.044736      
     174      96      -570.44      -570.447      7.38192e-05      21.2419      21.2805      0.0348916      
     175      96      -569.401      -569.431      0.000307911      22.8725      22.8527      0.035801      
     176      96      -576.169      -576.168      1.35658e-05      20.9382      20.9982      0.0265574      
     177      96      -568.961      -568.992      0.000321766      22.6519      22.6223      0.0374051      
     178      96      -569.281      -569.294      0.000139062      22.03      22.0406      0.0394607      
     179      96      -568.373      -568.469      0.0010004      23.0649      22.9664      0.040342      
     180      96      -569.142      -569.223      0.00084614      22.2679      22.1891      0.0419541      
     181      96      -569.5      -569.557      0.000600181      22.6464      22.5948      0.0432055      
     182      96      -569.463      -569.502      0.000410477      23.241      23.217      0.0448329      
     183      96      -569.323      -569.344      0.000213483      23.2687      23.2899      0.0449004      
     184      96      -567.106      -567.182      0.000785519      23.1664      23.0129      0.0444517      
     185      96      -568.984      -569.012      0.000293949      22.9274      22.8791      0.0427192      
     186      96      -568.877      -568.908      0.000330262      23.2281      23.1659      0.040131      
     187      96      -568.987      -569.013      0.000276797      22.9956      22.9067      0.0397511      
     188      96      -569.188      -569.198      0.000106175      22.202      22.1493      0.0389503      
     189      96      -569      -569.004      4.19465e-05      22.6535      22.6184      0.0391017      
     190      96      -568.761      -568.769      8.98963e-05      23.5622      23.5391      0.0393425      
     191      96      -568.973      -568.985      0.000126273      23.4875      23.476      0.0397853      
     192      96      -567.87      -567.936      0.000684389      22.9007      22.7709      0.0433402      
     193      96      -570.519      -570.52      4.64732e-06      21.3938      21.4136      0.0358487      
     194      96      -571.038      -571.034      3.81118e-05      20.521      20.5735      0.0353113      
     195      96      -569.716      -569.717      3.69492e-06      22.1519      22.1957      0.0416764      
     196      96      -569.921      -569.931      0.000103776      21.8044      21.8466      0.0416704      
     197      96      -569.398      -569.424      0.000270224      22.1842      22.1893      0.0420249      
     198      96      -568.437      -568.485      0.000495942      23.6839      23.6247      0.0415564      
     199      96      -567.242      -567.312      0.000721828      25.83      25.6952      0.0412709      
     200      96      -568.767      -568.807      0.000418033      22.8236      22.7205      0.0418618      
     201      96      -568.327      -568.363      0.000374382      22.6356      22.5983      0.0379573      
     202      96      -569.148      -569.155      7.51347e-05      21.1812      21.1862      0.0361842      
     203      96      -569.306      -569.295      0.00011962      21.1899      21.2058      0.0381627      
     204      96      -569.069      -569.03      0.000404623      21.7997      21.8455      0.0405838      
     205      96      -568.769      -568.712      0.000588919      22.3615      22.4086      0.0412927      
     206      96      -568.872      -568.809      0.000661545      21.8245      21.8609      0.0397435      
     207      96      -569.209      -569.15      0.000616454      21.1633      21.2219      0.0374648      
     208      96      -569.351      -569.311      0.000414766      21.7967      21.7967      0.0364025      
     209      96      -569.548      -569.53      0.000180694      22.7552      22.739      0.0369485      
     210      96      -569.864      -569.88      0.000167647      22.5268      22.4224      0.038837      
     211      96      -569.859      -569.904      0.000473084      22.849      22.67      0.0388255      
     212      96      -569.207      -569.293      0.00089099      24.2622      24.034      0.0397881      
     213      96      -569.665      -569.68      0.000159253      22.1523      22.1243      0.0404365      
     214      96      -568.397      -568.494      0.00100634      25.5229      25.3103      0.0411737      
     215      96      -568.751      -568.815      0.000664494      24.5059      24.349      0.0415434      
     216      96      -569.188      -569.217      0.000299874      23.3504      23.2365      0.0414586      
     217      96      -569.527      -569.501      0.000261428      22.7623      22.7406      0.0405744      
     218      96      -569.642      -569.6      0.000428484      23.0571      23.1168      0.0396748      
     219      96      -569.848      -569.809      0.000408205      23.0226      23.1034      0.0386195      
     220      96      -570.713      -570.69      0.000247198      22.1044      22.1813      0.0362408      
     221      96      -571.668      -571.659      9.53186e-05      20.6619      20.7158      0.034605      
     222      96      -571.805      -571.798      6.96064e-05      20.8375      20.8831      0.0343605      
     223      96      -570.847      -570.84      7.23383e-05      23.114      23.0967      0.0343816      
     224      96      -570.262      -570.265      2.25243e-05      23.2547      23.1907      0.0343847      
     225      96      -569.895      -569.915      0.00021283      22.0596      22.0054      0.0333563      
     226      96      -569.763      -569.79      0.000274493      21.3531      21.3385      0.0356038      
     227      96      -569.73      -569.747      0.000175466      21.2373      21.2935      0.0401504      
     228      96      -569.501      -569.493      8.36424e-05      21.6393      21.7738      0.0449031      
     229      96      -570.982      -570.986      3.51542e-05      20.9729      21.0126      0.0375483      
