# Displaced_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     129      4      -46.4398      -46.4385      0.000316678      0.00427986      0.00149255      0.000689332      
     130      4      -46.4356      -46.4364      0.000189033      0.00124772      0.000810592      0.000154887      
     131      4      -46.4404      -46.4416      0.00029557      0.00443813      0.00128368      0.000779924      
     132      4      -46.4169      -46.417      7.99426e-06      0.00336407      0.00118615      0.000478835      
     133      4      -46.4384      -46.4405      0.000529571      0.00428024      0.00121244      0.000734978      
     134      4      -46.4381      -46.438      2.54332e-05      0.00478573      0.00235823      0.000654225      
     135      4      -46.4466      -46.4459      0.00017953      0.00464705      0.00203395      0.000695419      
     136      4      -46.4357      -46.4357      1.99486e-05      0.00215084      0.00169085      0.000231295      
     137      4      -46.4397      -46.4382      0.000374936      0.00331609      0.00116005      0.000459942      
     138      4      -46.4272      -46.4263      0.000225074      0.001233      0.000529702      0.000124094      
     139      4      -46.4416      -46.4433      0.000428278      0.00444352      0.00181842      0.000620748      
     140      4      -46.4388      -46.439      6.23823e-05      0.00371034      0.00141697      0.000567864      
     141      4      -46.4316      -46.4324      0.000206192      0.00448998      0.00101047      0.000831027      
     142      4      -46.412      -46.4127      0.00017191      0.00561581      0.00180196      0.00110652      
     143      4      -46.4426      -46.4432      0.000162793      0.00325097      0.00169159      0.000377523      
     144      4      -46.431      -46.4315      0.000132757      0.00560538      0.00168054      0.00113565      
     145      4      -46.4337      -46.4356      0.000469425      0.00325086      0.000959304      0.000480988      
     146      4      -46.4388      -46.4377      0.000281537      0.00422376      0.00121771      0.000754049      
     147      4      -46.4278      -46.4284      0.000150459      0.00357731      0.00206008      0.00040704      
     148      4      -46.4323      -46.4323      1.91686e-05      0.00305504      0.00062742      0.000461749      
     149      4      -46.4413      -46.4423      0.000261326      0.00442393      0.00242444      0.000605727      
     150      4      -46.4372      -46.4366      0.000138048      0.00122093      0.000532124      0.000152575      
     151      4      -46.4307      -46.4308      4.34062e-05      0.00432116      0.00139999      0.000722975      
     152      4      -46.4327      -46.4331      0.000111602      0.0012522      0.000727277      0.000110206      
     153      4      -46.4342      -46.4343      4.03552e-05      0.00329404      0.00128445      0.000447386      
     154      4      -46.43      -46.4306      0.00013341      0.00334694      0.00131575      0.00042926      
     155      4      -46.4465      -46.4457      0.000216811      0.00511246      0.00180789      0.000962638      
     156      4      -46.4359      -46.4359      6.69045e-07      0.00328886      0.0018693      0.000310342      
     157      4      -46.4399      -46.4421      0.000559863      0.0029859      0.000602093      0.000417716      
     158      4      -46.4357      -46.4344      0.00032262      0.00212258      0.00109298      0.000243055      
     159      4      -46.4382      -46.4363      0.000464322      0.00460198      0.00183915      0.000707606      
     160      4      -46.4237      -46.4239      5.3144e-05      0.00436465      0.00146346      0.000750663      
     161      4      -46.4275      -46.4281      0.000144663      0.00311249      0.00085845      0.000430216      
     162      4      -46.4264      -46.4269      0.000135051      0.00378449      0.00184572      0.000520561      
     163      4      -46.4233      -46.4211      0.000545505      0.00459835      0.00130915      0.000778643      
     164      4      -46.4307      -46.4322      0.000385946      0.00179277      0.000725311      0.000254841      
     165      4      -46.4305      -46.4294      0.000278757      0.00334101      0.00106833      0.000491222      
     166      4      -46.4452      -46.4451      1.07167e-05      0.00342897      0.00177604      0.000384277      
     167      4      -46.4348      -46.4359      0.000260225      0.00466667      0.00237607      0.000644665      
     168      4      -46.4389      -46.4397      0.00018573      0.00119549      0.0011194      2.40201e-05      
     169      4      -46.4268      -46.4283      0.000369778      0.00473607      0.001277      0.000922558      
     170      4      -46.4237      -46.4246      0.0002136      0.00311042      0.000803296      0.0004068      
     171      4      -46.4122      -46.413      0.00020317      0.00363321      0.00124832      0.000495933      
     172      4      -46.4348      -46.437      0.000560874      0.00219593      0.00133194      0.000236996      
     173      4      -46.4433      -46.4436      7.04893e-05      0.00419501      0.00117705      0.000744597      
     174      4      -46.4403      -46.4397      0.000144044      3.9587e-06      0      1.05883e-06      
     175      4      -46.4371      -46.4355      0.000386052      0.00442622      0.000933839      0.000847323      
     176      4      -46.4338      -46.4348      0.000255597      0.00446887      0.00117329      0.000790085      
     177      4      -46.436      -46.4349      0.000279871      0.00461889      0.00134949      0.000878368      
     178      4      -46.4272      -46.4265      0.000182796      0.00451049      0.00124894      0.000874545      
     179      4      -46.4373      -46.437      6.01482e-05      0.00173586      0.000938419      0.00020951      
     180      4      -46.429      -46.4289      1.45194e-05      0.0045336      0.00128635      0.000774546      
     181      4      -46.441      -46.4425      0.000383344      0.00304793      0.000948555      0.000436715      
     182      4      -46.4304      -46.4287      0.000421907      0.00432416      0.00142432      0.000699047      
     183      4      -46.4331      -46.4334      6.45651e-05      0.00447873      0.00127638      0.000753119      
     184      4      -46.4396      -46.4388      0.000194072      0.00175902      0.000818694      0.000227432      
     185      4      -46.4414      -46.442      0.000157548      0.00324285      0.00188774      0.000300641      
     186      4      -46.4376      -46.439      0.000367467      0.00173941      0.000821568      0.000222675      
     187      4      -46.4371      -46.437      4.11103e-05      0.00350108      0.00148232      0.000488466      
     188      4      -46.4278      -46.4272      0.000149033      0.00352931      0.00129389      0.000475293      
     189      4      -46.439      -46.438      0.00024356      0.00461155      0.00162729      0.000787218      
     190      4      -46.4202      -46.4201      4.02001e-05      0.00488338      0.00239524      0.000696935      
     191      4      -46.4456      -46.4452      9.98517e-05      0.00420842      0.00121933      0.000712192      
     192      4      -46.4444      -46.446      0.000407049      0.00325096      0.00130533      0.00041284      
     193      4      -46.4354      -46.4345      0.000233016      0.00326513      0.000832334      0.000536269      
     194      4      -46.4426      -46.4446      0.00049564      0.00296403      0.000974421      0.000338628      
     195      4      -46.4412      -46.4418      0.00014018      0.00443332      0.00133923      0.000838524      
     196      4      -46.4373      -46.4364      0.000219355      0.00459546      0.00178674      0.00074977      
     197      4      -46.4452      -46.4464      0.000305305      0.00300169      0.000658878      0.000442472      
     198      4      -46.4489      -46.4498      0.00022157      0.00447455      0.00213506      0.000644222      
     199      4      -46.4254      -46.4272      0.000441985      0.00439622      0.00105079      0.000799395      
     200      4      -46.4269      -46.4279      0.000228671      0.00439241      0.00148767      0.000730125      
     201      4      -46.4418      -46.44      0.000430433      0.00299206      0.000757203      0.000386618      
     202      4      -46.4364      -46.4372      0.000211106      0.00332599      0.00150559      0.000403376      
     203      4      -46.4233      -46.4226      0.000161626      0.00331719      0.00160171      0.000475317      
     204      4      -46.4429      -46.4435      0.000160572      0.00457488      0.0015903      0.000784404      
     205      4      -46.4394      -46.4399      0.000140521      0.00445936      0.00153049      0.000730216      
     206      4      -46.4377      -46.4377      6.93538e-06      0.00552516      0.00244025      0.000849446      
     207      4      -46.444      -46.4456      0.000378433      0.00317887      0.00113392      0.000460116      
     208      4      -46.4389      -46.4391      6.3098e-05      0.00464272      0.00183073      0.000725848      
     209      4      -46.4438      -46.4431      0.000174446      0.00121502      0.000576687      0.000122093      
     210      4      -46.4406      -46.4397      0.000225927      0.00322656      0.00120417      0.000429505      
     211      4      -46.4363      -46.4364      1.64928e-05      0.00426375      0.00146166      0.000753277      
     212      4      -46.4275      -46.4266      0.000244287      0.00335811      0.00135962      0.000366095      
     213      4      -46.4338      -46.434      4.46557e-05      0.00350793      0.00139113      0.000490596      
     214      4      -46.4361      -46.4363      3.26191e-05      0.00480897      0.00250335      0.000709849      
     215      4      -46.4329      -46.4345      0.000407509      0.00359338      0.00104164      0.000642964      
     216      4      -46.4383      -46.4388      0.000121848      0.00350353      0.00109829      0.000523174      
     217      4      -46.4387      -46.4403      0.00038667      0.00126044      0.000606989      0.000161344      
     218      4      -46.4251      -46.4229      0.000551631      0.001278      0.000736524      0.000128054      
     219      4      -46.4182      -46.4181      2.95429e-05      0.00477582      0.00202841      0.000783344      
     220      4      -46.4404      -46.4405      2.07004e-05      0.00325888      0.00115819      0.000499521      
     221      4      -46.4096      -46.4098      5.86254e-05      0.00342044      0.00175957      0.000377063      
     222      4      -46.4417      -46.4403      0.000339795      0.00295548      0.000953404      0.000368359      
     223      4      -46.438      -46.4377      5.73051e-05      0.001741      0.00092618      0.00014656      
     224      4      -46.4176      -46.4165      0.000275283      0.00314459      0.000757366      0.000427797      
     225      4      -46.4409      -46.4403      0.000148658      0.003219      0.000772539      0.000519697      
     226      4      -46.4397      -46.4384      0.00032284      0.00297244      0.000561202      0.000408874      
     227      4      -46.4403      -46.4389      0.000352972      0.00331833      0.00165088      0.000392655      
# GSF_110.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     228      24      -279.068      -279.069      1.58247e-05      1.73939      1.75635      0.0023792      
     229      24      -279.79      -279.784      0.000232052      0.870939      0.905767      0.0071904      
     230      24      -279.888      -279.902      0.000556122      0.0837304      0.00156595      0.00384332      
     231      24      -279.579      -279.584      0.000208547      1.05939      1.03557      0.00672248      
     232      24      -279.79      -279.784      0.000232673      0.870937      0.90564      0.0071547      
     233      24      -279.304      -279.302      9.45401e-05      1.79824      1.77197      0.007552      
     234      24      -279.554      -279.556      6.76562e-05      1.45913      1.40563      0.00910395      
     235      24      -279.248      -279.247      3.05162e-05      0.503695      0.481396      0.00560351      
     236      24      -279.304      -279.302      9.46614e-05      1.79825      1.77195      0.0075555      
     237      24      -279.248      -279.247      3.06834e-05      0.503212      0.480948      0.00552309      
     238      24      -279.888      -279.896      0.000321173      0.0836428      0.0106055      0.00388586      
     239      24      -279.579      -279.584      0.00020936      1.05994      1.03584      0.00674565      
     240      24      -279.129      -279.124      0.000174339      1.80165      1.80955      0.00536806      
     241      24      -279.378      -279.379      3.96544e-05      0.888055      0.898269      0.00852569      
