# Bulk.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      8      -38.6775      -38.7277      0.00627444      1.86715e-14      0      3.43675e-15      
# EOS.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     134      8      -38.2068      -38.2326      0.00322887      7.49932e-15      0      1.08507e-15      
     135      8      -38.1658      -38.19      0.00301869      1.0886e-14      0      1.99152e-15      
     136      8      -38.1233      -38.1458      0.00281034      9.30996e-16      0      1.55908e-16      
     137      8      -38.0794      -38.1003      0.00260931      1.8004e-14      0      3.1675e-15      
     138      8      -38.034      -38.0533      0.0024125      1.72788e-14      0      2.91173e-15      
     139      8      -37.9871      -38.0049      0.00222113      1.13786e-14      0      1.79645e-15      
     140      8      -37.9389      -37.9551      0.00203591      1.14311e-14      0      1.90252e-15      
     141      8      -33.2668      -33.2787      0.0014879      7.96016e-16      0      1.21178e-16      
     142      8      -37.8892      -37.9041      0.00185802      1.33307e-14      0      2.16963e-15      
     143      8      -37.8382      -37.8517      0.00168512      1.6146e-14      0      2.36618e-15      
     144      8      -37.7859      -37.7981      0.00152346      7.95408e-15      0      1.1822e-15      
     145      8      -37.7323      -37.7432      0.00136716      1.39741e-14      0      2.34717e-15      
     146      8      -37.6774      -37.6872      0.001221      1.42435e-15      0      2.34152e-16      
     147      8      -37.6213      -37.6299      0.00108137      1.6655e-14      0      3.14645e-15      
     148      8      -37.5639      -37.5716      0.000951362      2.1527e-15      0      3.24899e-16      
     149      8      -37.5054      -37.512      0.000827683      1.24643e-14      0      2.15505e-15      
     150      8      -37.4457      -37.4514      0.000713327      8.6909e-15      0      1.18398e-15      
     151      8      -37.3848      -37.3896      0.000604536      1.73821e-14      0      2.56389e-15      
     152      8      -32.2988      -32.3288      0.00375268      9.28993e-16      0      1.17275e-16      
     153      8      -37.3228      -37.3269      0.000509584      2.90891e-14      0      4.60041e-15      
     154      8      -37.2597      -37.2631      0.000419413      1.05968e-15      0      1.61329e-16      
     155      8      -37.1956      -37.1983      0.000337056      1.33939e-14      0      2.00086e-15      
     156      8      -37.1304      -37.1325      0.000259977      5.77811e-16      0      9.31872e-17      
     157      8      -37.0642      -37.0657      0.000191242      7.8312e-15      0      1.13747e-15      
     158      8      -36.997      -36.998      0.000125997      1.53698e-15      0      2.67274e-16      
     159      8      -36.9288      -36.9294      6.81874e-05      1.54871e-14      0      2.75566e-15      
     160      8      -36.8597      -36.8598      1.81489e-05      8.84312e-15      0      1.5894e-15      
     161      8      -36.7897      -36.7894      3.00275e-05      1.15019e-14      0      1.79699e-15      
     162      8      -36.7187      -36.7181      7.21463e-05      2.06848e-14      0      3.38323e-15      
     163      8      -31.3155      -31.3504      0.00435819      5.30236e-16      0      7.56412e-17      
     164      8      -36.6469      -36.646      0.000109775      1.27026e-14      0      2.23367e-15      
     165      8      -36.5742      -36.5731      0.000142186      2.31569e-14      0      3.26056e-15      
     166      8      -36.5007      -36.4993      0.000170833      9.91156e-15      0      1.61429e-15      
     167      8      -36.4263      -36.4248      0.000196122      1.70635e-14      0      2.72547e-15      
     168      8      -36.3512      -36.3495      0.000217837      1.5802e-14      0      2.69945e-15      
     169      8      -36.2753      -36.2734      0.000234922      8.1396e-15      0      1.38222e-15      
     170      8      -36.1987      -36.1967      0.000250033      1.22094e-14      0      1.75942e-15      
     171      8      -36.1213      -36.1192      0.000260575      1.54531e-14      0      2.17859e-15      
     172      8      -36.0432      -36.0411      0.00027134      1.10206e-14      0      1.73975e-15      
     173      8      -35.9644      -35.9622      0.000275447      3.19876e-15      0      5.38424e-16      
     174      8      -30.3313      -30.3551      0.00298084      5.47144e-16      0      9.07116e-17      
     175      8      -35.885      -35.8828      0.0002772      6.52947e-15      0      1.10326e-15      
     176      8      -35.8049      -35.8027      0.000274408      1.36927e-14      0      2.45797e-15      
     177      8      -35.7242      -35.722      0.000269035      1.06849e-14      0      1.77691e-15      
     178      8      -35.6428      -35.6407      0.000260453      6.63783e-15      0      1.16561e-15      
     179      8      -35.5608      -35.5589      0.00024685      9.69557e-15      0      1.40712e-15      
     180      8      -35.4783      -35.4765      0.000228176      1.22035e-14      0      1.8492e-15      
     181      8      -35.3952      -35.3935      0.000206316      2.43736e-15      0      3.91045e-16      
     182      8      -35.3115      -35.3101      0.000176506      5.72942e-15      0      9.31212e-16      
     183      8      -35.2273      -35.2261      0.000143813      1.31792e-15      0      2.38362e-16      
     184      8      -35.1426      -35.1417      0.000103085      9.71884e-15      0      1.4009e-15      
     185      8      -29.3505      -29.3539      0.000427097      7.00333e-16      0      1.0622e-16      
     186      8      -35.0573      -35.0569      5.81457e-05      9.09899e-16      0      1.42383e-16      
     187      8      -34.9716      -34.9716      6.92302e-06      7.62032e-15      0      1.39386e-15      
