# Displaced_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   132    4    -46.4159    -46.417    0.000264584    0.000879048    0.00118615    9.21906e-05    
   133    4    -46.4374    -46.4405    0.000763894    0.000900086    0.00121244    7.26508e-05    
   134    4    -46.4369    -46.438    0.00025591    0.00132101    0.00235823    0.000263467    
   135    4    -46.4462    -46.4459    8.17233e-05    0.00127936    0.00203395    0.000215913    
   136    4    -46.4346    -46.4357    0.000294489    0.000940097    0.00169085    0.000253161    
   137    4    -46.4388    -46.4382    0.000140942    0.000828177    0.00116005    8.18781e-05    
   138    4    -46.426    -46.4263    7.10469e-05    0.000539044    0.000529702    9.24509e-06    
   139    4    -46.4407    -46.4433    0.000654727    0.00103189    0.00181842    0.000198936    
   140    4    -46.4378    -46.439    0.000295054    0.00112095    0.00141697    8.47575e-05    
   141    4    -46.4306    -46.4324    0.000470977    0.0010595    0.00101047    5.75778e-05    
   142    4    -46.4112    -46.4127    0.000374834    0.00130029    0.00180196    0.000164601    
   143    4    -46.4417    -46.4432    0.000381857    0.00082    0.00169159    0.000197574    
   144    4    -46.4299    -46.4315    0.000393725    0.00135331    0.00168054    9.02338e-05    
   145    4    -46.4326    -46.4356    0.000747272    0.000827435    0.000959304    3.17995e-05    
   146    4    -46.4379    -46.4377    5.77326e-05    0.000895835    0.00121771    0.000100682    
   147    4    -46.4267    -46.4284    0.000443056    0.000994558    0.00206008    0.000289128    
   148    4    -46.4312    -46.4323    0.000266349    0.000649846    0.00062742    6.42064e-05    
   149    4    -46.4404    -46.4423    0.000486424    0.00105172    0.00242444    0.000359984    
   150    4    -46.4362    -46.4366    0.000109835    0.000554861    0.000532124    4.35552e-05    
   151    4    -46.4295    -46.4308    0.000333873    0.000922059    0.00139999    0.000128344    
   152    4    -46.4315    -46.4331    0.000406069    0.000535931    0.000727277    5.65847e-05    
   153    4    -46.4331    -46.4343    0.000307634    0.000843829    0.00128445    0.000127529    
   154    4    -46.4288    -46.4306    0.000448896    0.000857429    0.00131575    0.000111644    
   155    4    -46.4461    -46.4457    0.000108534    0.00105527    0.00180789    0.000208609    
   156    4    -46.4347    -46.4359    0.00029863    0.00083983    0.0018693    0.000244459    
   157    4    -46.439    -46.4421    0.000780901    0.000630232    0.000602093    2.01278e-05    
   158    4    -46.4346    -46.4344    3.05402e-05    0.00094142    0.00109298    7.48666e-05    
   159    4    -46.4372    -46.4363    0.000218815    0.00117576    0.00183915    0.00019822    
   160    4    -46.4226    -46.4239    0.000334336    0.000939809    0.00146346    0.000183266    
   161    4    -46.4263    -46.4281    0.000441742    0.000660338    0.00085845    7.26279e-05    
   162    4    -46.4252    -46.4269    0.000431591    0.00116444    0.00184572    0.000214857    
   163    4    -46.4223    -46.4211    0.000293273    0.00109004    0.00130915    5.88323e-05    
   164    4    -46.4296    -46.4322    0.000655695    0.000777661    0.000725311    2.85932e-05    
   165    4    -46.4294    -46.4294    5.45867e-06    0.000844308    0.00106833    6.59244e-05    
   166    4    -46.4445    -46.4451    0.000158705    0.000963573    0.00177604    0.000214153    
   167    4    -46.4336    -46.4359    0.000559191    0.00118166    0.00237607    0.000349384    
   168    4    -46.4381    -46.4397    0.000398539    0.000537348    0.0011194    0.000103886    
   169    4    -46.4256    -46.4283    0.000667129    0.00121781    0.001277    3.24632e-05    
   170    4    -46.4226    -46.4246    0.000501499    0.000665939    0.000803296    3.86635e-05    
   171    4    -46.4114    -46.413    0.000404124    0.00103372    0.00124832    4.99341e-05    
   172    4    -46.4337    -46.437    0.000835027    0.000939062    0.00133194    0.000151964    
   173    4    -46.4426    -46.4436    0.000249275    0.00087821    0.00117705    9.96527e-05    
   174    4    -46.4393    -46.4397    0.000108298    8.01271e-07    0    2.21298e-07    
   175    4    -46.4361    -46.4355    0.000139412    0.00102867    0.000933839    5.52309e-05    
   176    4    -46.4329    -46.4348    0.00048013    0.001069    0.00117329    4.82142e-05    
   177    4    -46.435    -46.4349    1.71774e-05    0.00118261    0.00134949    5.52374e-05    
   178    4    -46.4261    -46.4265    0.000108048    0.00110087    0.00124894    5.39175e-05    
   179    4    -46.4362    -46.437    0.000213309    0.000759147    0.000938419    6.54485e-05    
   180    4    -46.4278    -46.4289    0.000288324    0.00107492    0.00128635    6.86621e-05    
   181    4    -46.4401    -46.4425    0.000615632    0.000631289    0.000948555    0.0001212    
   182    4    -46.4293    -46.4287    0.000136709    0.000923529    0.00142432    0.000129578    
   183    4    -46.432    -46.4334    0.000335735    0.00108531    0.00127638    6.05757e-05    
   184    4    -46.4387    -46.4388    1.98514e-05    0.000773268    0.000818694    3.63001e-05    
   185    4    -46.4404    -46.442    0.000392534    0.000846557    0.00188774    0.000232102    
   186    4    -46.4365    -46.439    0.000640371    0.000748871    0.000821568    4.27397e-05    
   187    4    -46.4359    -46.437    0.000262412    0.00100034    0.00148232    0.000151185    
   188    4    -46.4267    -46.4272    0.000132861    0.00103373    0.00129389    7.89113e-05    
   189    4    -46.438    -46.438    2.09915e-05    0.00117002    0.00162729    0.000126325    
   190    4    -46.4192    -46.4201    0.000229138    0.0013724    0.00239524    0.000337268    
   191    4    -46.4451    -46.4452    4.01332e-05    0.000869011    0.00121933    8.43642e-05    
   192    4    -46.4438    -46.446    0.000557624    0.000807113    0.00130533    0.000111581    
   193    4    -46.4345    -46.4345    4.32998e-06    0.000825755    0.000832334    5.97425e-05    
   194    4    -46.4419    -46.4446    0.000681384    0.000621771    0.000974421    6.55687e-05    
   195    4    -46.4402    -46.4418    0.000399258    0.00104611    0.00133923    9.97271e-05    
   196    4    -46.4362    -46.4364    5.75357e-05    0.00120158    0.00178674    0.000149592    
   197    4    -46.4446    -46.4464    0.000457343    0.000618038    0.000658878    4.29212e-05    
   198    4    -46.4489    -46.4498    0.000219907    0.00111925    0.00213506    0.000271135    
   199    4    -46.4244    -46.4272    0.000709185    0.00093823    0.00105079    3.74157e-05    
   200    4    -46.4258    -46.4279    0.000523944    0.000935006    0.00148767    0.000150465    
   201    4    -46.441    -46.44    0.000249535    0.000625931    0.000757203    4.03631e-05    
   202    4    -46.4354    -46.4372    0.000444814    0.000829975    0.00150559    0.000156335    
   203    4    -46.4221    -46.4226    0.000124828    0.000869582    0.00160171    0.000229243    
   204    4    -46.4422    -46.4435    0.000344682    0.00115538    0.0015903    0.000129691    
   205    4    -46.4382    -46.4399    0.00042654    0.00104481    0.00153049    0.000118194    
   206    4    -46.4366    -46.4377    0.000272919    0.00134027    0.00244025    0.000345947    
   207    4    -46.4434    -46.4456    0.000547161    0.000786032    0.00113392    9.42419e-05    
   208    4    -46.4379    -46.4391    0.00029466    0.00117187    0.00183073    0.000197592    
   209    4    -46.4431    -46.4431    4.72002e-06    0.000523071    0.000576687    1.84958e-05    
   210    4    -46.4397    -46.4397    3.18965e-06    0.000830553    0.00120417    8.59347e-05    
   211    4    -46.4353    -46.4364    0.000274393    0.000904841    0.00146166    0.000186343    
   212    4    -46.4263    -46.4266    6.30294e-05    0.000867203    0.00135962    0.000104127    
   213    4    -46.4326    -46.434    0.000349741    0.00102198    0.00139113    0.000122732    
   214    4    -46.4349    -46.4363    0.000345018    0.00130303    0.00250335    0.000293524    
   215    4    -46.432    -46.4345    0.000633636    0.000995207    0.00104164    1.38148e-05    
   216    4    -46.4373    -46.4388    0.000356845    0.000978548    0.00109829    6.05746e-05    
   217    4    -46.4377    -46.4403    0.000637033    0.000551808    0.000606989    4.68109e-05    
   218    4    -46.4242    -46.4229    0.000323694    0.00057278    0.000736524    6.57564e-05    
   219    4    -46.4173    -46.4181    0.000206759    0.00123095    0.00202841    0.000210443    
   220    4    -46.4395    -46.4405    0.000261326    0.000827568    0.00115819    0.000106677    
   221    4    -46.4089    -46.4098    0.000231849    0.000870128    0.00175957    0.000214221    
   222    4    -46.4408    -46.4403    0.000116079    0.000623825    0.000953404    8.8078e-05    
   223    4    -46.4368    -46.4377    0.000227944    0.000767355    0.00092618    6.57722e-05    
   224    4    -46.4167    -46.4165    4.7926e-05    0.000675756    0.000757366    4.18837e-05    
   225    4    -46.4399    -46.4403    8.94728e-05    0.000830093    0.000772539    1.53733e-05    
   226    4    -46.4389    -46.4384    0.000122437    0.000630141    0.000561202    2.05799e-05    
   227    4    -46.4396    -46.4389    0.000183441    0.000817114    0.00165088    0.000188119    
# GSF_110.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   228    24    -278.952    -279.069    0.00484974    1.30842    1.75635    0.0252579    
   229    24    -279.898    -279.784    0.00473819    1.06486    0.905767    0.0226151    
   230    24    -280.009    -279.902    0.00446322    0.159356    0.00156595    0.00758324    
   231    24    -279.658    -279.584    0.00307228    1.33502    1.03557    0.0371805    
   232    24    -279.898    -279.784    0.00473885    1.06485    0.90564    0.0226275    
   233    24    -279.333    -279.302    0.00127826    1.9333    1.77197    0.0320169    
   234    24    -279.615    -279.556    0.00246677    1.77818    1.40563    0.0405556    
   235    24    -279.193    -279.247    0.00226674    0.879533    0.481396    0.036948    
   236    24    -279.333    -279.302    0.00127844    1.93331    1.77195    0.0320186    
   237    24    -279.193    -279.247    0.00226633    0.878832    0.480948    0.0369162    
   238    24    -280.009    -279.896    0.00469733    0.160008    0.0106055    0.00759961    
   239    24    -279.658    -279.584    0.00306489    1.33521    1.03584    0.0371791    
   240    24    -279.083    -279.124    0.00174388    1.72017    1.80955    0.0399378    
   241    24    -279.409    -279.379    0.00123256    1.17637    0.898269    0.0339425    
   242    24    -279.409    -279.379    0.00123533    1.17617    0.898081    0.0339514    
